,date,state,city_or_county,n_killed,n_injured,latitude,longitude,incident_url,source_url
225875,2018-01-01,New Jersey,Trenton,0,0,40.2082,-74.7455,http://www.gunviolencearchive.org/incident/1019625,http://www.trentonian.com/general-news/20180102/two-arrested-after-trenton-cops-find-loaded-gun
225876,2018-01-01,Massachusetts,Boston,0,0,42.3379,-71.0547,http://www.gunviolencearchive.org/incident/1018568,https://twitter.com/southiescanner/status/947973066126217221
225877,2018-01-01,Massachusetts,Boston,0,0,42.3324,-71.0517,http://www.gunviolencearchive.org/incident/1018575,https://twitter.com/southiescanner/status/947966523955662851
225878,2018-01-01,California,Oakland,1,0,37.7698,-122.204,http://www.gunviolencearchive.org/incident/1018492,https://www.eastbaytimes.com/2018/01/03/man-charged-with-murder-in-oakland-fatal-shooting-of-girlfriend/
225879,2018-01-01,New York,Buffalo,0,3,42.9093,-78.8491,http://www.gunviolencearchive.org/incident/1022336,http://buffalonews.com/2018/01/07/car-riddled-with-bullets-injuring-three-on-new-years-day/
225880,2018-01-01,California,Auburn,0,0,38.9473,-121.102,http://www.gunviolencearchive.org/incident/1028510,http://www.auburnjournal.com/article/1/15/18/sheriffs-log-jan-14-2018
225881,2018-01-01,Arkansas,Little Rock,0,1,34.7204,-92.4523,http://www.gunviolencearchive.org/incident/1020897,http://www.arkansasonline.com/news/2018/jan/05/suspect-in-2-crimes-shot-fleeing-one-lr/?f=crime
225882,2018-01-01,California,Garberville,1,0,40.1008,-123.68700000000001,http://www.gunviolencearchive.org/incident/1018490,https://lostcoastoutpost.com/2018/jan/3/sheriffs-office-identifies-sohum-homicide-victim-a/
225883,2018-01-01,Michigan,Kalamazoo,0,0,42.3034,-85.5888,http://www.gunviolencearchive.org/incident/1018643,http://www.mlive.com/news/kalamazoo/index.ssf/2018/01/shots_fired_at_midnight_leads.html
225884,2018-01-01,Ohio,Lorain,1,0,41.4494,-82.176,http://www.gunviolencearchive.org/incident/1018330,http://www.chroniclet.com/cops-and-courts/2018/03/02/Two-Lorain-men-indicted-in-New-Year-39-s-Day-homicide.html
225885,2018-01-01,Michigan,Redford Charter Township,1,0,42.4312,-83.2946,http://www.gunviolencearchive.org/incident/1018659,https://www.clickondetroit.com/news/man-fatally-shot-at-recording-studio-in-redford-township
225886,2018-01-01,California,Hemet,0,1,33.7476,-116.978,http://www.gunviolencearchive.org/incident/1018676,https://www.nbclosangeles.com/on-air/as-seen-on/Estranged-Husband-Shoots-Wife-and-at-Officer_Los-Angeles-467594243.html
225887,2018-01-01,Michigan,Detroit,0,1,42.4397,-83.0962,http://www.gunviolencearchive.org/incident/1018210,http://www.detroitnews.com/story/news/local/detroit-city/2018/01/01/6-shot-overnight-detroit-2018-begins/994078001/
225888,2018-01-01,California,Torrance,1,1,33.8447,-118.305,http://www.gunviolencearchive.org/incident/1047572,http://homicide.latimes.com/post/derek-schaefer/
225889,2018-01-01,Missouri,Holts Summit,0,0,38.6549,-92.1157,http://www.gunviolencearchive.org/incident/1021262,http://www.newstribune.com/news/local/story/2018/jan/03/motorist-arrested-after-shots-fired-near-deputy/707027/
225890,2018-01-01,Arizona,Phoenix,0,1,33.4957,-112.294,http://www.gunviolencearchive.org/incident/1018965,http://www.azfamily.com/story/37168722/pd-man-shot-following-argument-inside-phoenix-home
225891,2018-01-01,Texas,Houston,0,1,29.7676,-95.3359,http://www.gunviolencearchive.org/incident/1018703,https://www.chron.com/houston/article/Houston-police-Taxi-driver-shot-in-shoulder-by-12465720.php
225892,2018-01-01,Indiana,Indianapolis,0,0,,,http://www.gunviolencearchive.org/incident/1019449,https://www.wthr.com/article/stray-bullets-do-damage-during-new-years-celebrations
225893,2018-01-01,Indiana,Indianapolis,0,0,,,http://www.gunviolencearchive.org/incident/1019450,https://www.wthr.com/article/stray-bullets-do-damage-during-new-years-celebrations
225894,2018-01-01,Louisiana,Shreveport,0,1,32.4246,-93.8594,http://www.gunviolencearchive.org/incident/1018713,http://www.ksla.com/story/37168597/man-shot-in-leg-at-shreveport-apartment-complex
225895,2018-01-01,Indiana,Indianapolis,0,0,,,http://www.gunviolencearchive.org/incident/1019451,https://www.wthr.com/article/stray-bullets-do-damage-during-new-years-celebrations
225896,2018-01-01,California,Redwood Valley,0,0,39.2548,-123.209,http://www.gunviolencearchive.org/incident/1021066,http://www.pressdemocrat.com/news/7836925-181/mendocino-county-dui-arrest-leads?sba=AAS
225897,2018-01-01,Indiana,Indianapolis,0,0,39.814,-86.1473,http://www.gunviolencearchive.org/incident/1018315,http://fox59.com/2018/01/01/indy-homeowners-report-damage-from-new-years-eve-gunfire/
225898,2018-01-01,Georgia,Rossville,1,0,34.9406,-85.3135,http://www.gunviolencearchive.org/incident/1018734,http://www.wtvm.com/story/37169274/man-dead-following-officer-involved-shooting-in-walker-county
225899,2018-01-01,Oregon,Prineville,0,1,44.303000000000004,-120.846,http://www.gunviolencearchive.org/incident/1019455,http://www.kptv.com/story/37170889/man-shot-multiple-times-in-central-oregon-bar-attempted-murder-suspect-arrested
225900,2018-01-01,New Hampshire,Portsmouth,0,0,43.07899999999999,-70.7719,http://www.gunviolencearchive.org/incident/1020022,http://www.seacoastonline.com/news/20180103/two-very-close-calls-for-portsmouth-officers
225901,2018-01-01,Louisiana,Baton Rouge,0,1,,,http://www.gunviolencearchive.org/incident/1018914,http://www.wafb.com/story/37171240/robbery-possible-motive-in-shooting-on-victoria-drive-1-injured
225902,2018-01-01,Ohio,Cleveland,0,0,41.4381,-81.6183,http://www.gunviolencearchive.org/incident/1028549,http://www.cleveland.com/brunswick/index.ssf/2018/01/police_investigate_suspected_s.html#incart_river_index
225903,2018-01-01,Illinois,Rockford,0,0,42.2822,-89.1148,http://www.gunviolencearchive.org/incident/1018557,http://www.rrstar.com/news/20180101/one-rockford-neighborhood-two-shootings-over-new-years-weekend
225904,2018-01-01,Massachusetts,Revere,0,0,42.4006,-70.9858,http://www.gunviolencearchive.org/incident/1018048,https://twitter.com/reverescanner/status/947716494431064064
225905,2018-01-01,Ohio,Youngstown,1,0,41.0911,-80.6233,http://www.gunviolencearchive.org/incident/1019405,http://www.vindy.com/news/2018/jan/02/fatal-shooting-east-side-may-have-been-accidental-/?nw
225906,2018-01-01,Illinois,Chicago,0,0,41.9159,-87.6877,http://www.gunviolencearchive.org/incident/1018455,https://chicago.suntimes.com/news/shot-fired-at-blue-line-train-in-logan-square-no-one-injured/
225907,2018-01-01,Arizona,Tucson,1,0,32.1413,-110.969,http://www.gunviolencearchive.org/incident/1018708,http://tucson.com/news/local/man-shot-killed-on-south-side-early-monday-morning-identified/article_c7affc9e-ef55-11e7-88c9-27c798bd381f.html
225908,2018-01-01,Missouri,Saint Louis,2,0,38.6783,-90.2797,http://www.gunviolencearchive.org/incident/1018472,http://www.stltoday.com/news/local/crime-and-courts/men-killed-on-new-year-s-day-in-st-louis/article_635bde53-a37d-5ddc-8325-951775cc20c1.html
225909,2018-01-01,Louisiana,Schriever,0,0,29.7353,-90.839,http://www.gunviolencearchive.org/incident/1019343,http://www.houmatoday.com/news/20180102/police-report-dec-31-2017-jan-1-2018
225910,2018-01-01,Indiana,Princeton,0,1,38.3603,-87.5649,http://www.gunviolencearchive.org/incident/1018858,http://44news.wevv.com/gibson-county-man-accused-shooting-brother-appears-court/
225911,2018-01-01,Ohio,Mansfield,0,1,40.7081,-82.455,http://www.gunviolencearchive.org/incident/1019873,http://www.mansfieldnewsjournal.com/story/news/2018/01/02/deputies-help-man-after-attempted-suicide-pulver-road/995371001/
225912,2018-01-01,California,Los Angeles,0,1,33.958,-118.289,http://www.gunviolencearchive.org/incident/1018466,http://losangeles.cbslocal.com/2018/01/01/stray-bullet-south-la/
225913,2018-01-01,California,Oakland,1,0,37.8255,-122.28,http://www.gunviolencearchive.org/incident/1019132,https://www.eastbaytimes.com/2018/01/05/murder-charges-filed-in-fatal-new-years-day-shooting-in-west-oakland/
225914,2018-01-01,Nebraska,Lincoln,0,0,40.808,-96.6752,http://www.gunviolencearchive.org/incident/1023427,http://www.lincoln.ne.gov/city/police/stats/cfstue.htm
225915,2018-01-01,Indiana,South Bend,0,0,41.6818,-86.2598,http://www.gunviolencearchive.org/incident/1019883,https://www.southbendtribune.com/news/local/shooting-in-the-new-year-remains-reckless-south-bend-tradition/article_0188177b-4476-573e-a930-23cb5a116f5d.html
225916,2018-01-01,Georgia,Savannah,0,2,32.0276,-81.0706,http://www.gunviolencearchive.org/incident/1019355,http://wsav.com/2018/01/02/update-police-id-2-men-involved-in-shooting-on-skidaway-road/
225917,2018-01-01,North Carolina,Charlotte,0,2,35.2094,-80.8955,http://www.gunviolencearchive.org/incident/1019174,http://www.wbtv.com/story/37339815/police-charlotte-baby-was-accidentally-shot-by-father
225918,2018-01-01,Colorado,Pueblo,0,0,38.2689,-104.604,http://www.gunviolencearchive.org/incident/1021158,https://www.chieftain.com/news/crime/security-footage-reveals-gunman/article_6975cd22-2251-560d-acfe-2f66ae26e595.html
225919,2018-01-01,Tennessee,Clarksville,0,1,36.5607,-87.4,http://www.gunviolencearchive.org/incident/1023438,http://www.wsmv.com/story/37226652/clarksville-police-searching-for-answers-in-new-years-day-shooting
225920,2018-01-01,Rhode Island,Providence,1,0,41.8265,-71.4546,http://www.gunviolencearchive.org/incident/1019375,http://www.providencejournal.com/news/20180102/police-explore-possible-gang-link-in-murder-of-providence-man
225921,2018-01-01,Rhode Island,Providence,0,1,41.8218,-71.4056,http://www.gunviolencearchive.org/incident/1018451,http://www.providencejournal.com/news/20180102/providence-club-shooting-sparked-by-dispute-over-dancer-police-say
225922,2018-01-01,California,Planada,0,1,37.2941,-120.32,http://www.gunviolencearchive.org/incident/1018486,http://www.mercedsunstar.com/news/local/crime/article192458994.html
225923,2018-01-01,New Jersey,Jersey City,0,0,40.7261,-74.0351,http://www.gunviolencearchive.org/incident/1019382,http://www.nj.com/hudson/index.ssf/2018/01/jersey_city_sees_4_shootings_and_a_murder_on_new_y.html#incart_river_index
225924,2018-01-01,New Jersey,Jersey City,0,1,40.711999999999996,-74.0779,http://www.gunviolencearchive.org/incident/1019383,http://www.nj.com/hudson/index.ssf/2018/01/jersey_city_sees_4_shootings_and_a_murder_on_new_y.html#incart_river_index
225925,2018-01-01,Nebraska,Omaha,0,0,41.2831,-95.9843,http://www.gunviolencearchive.org/incident/1018496,http://www.wowt.com/content/news/Three-youths-arrested-in-carjacking-467564053.html
225926,2018-01-01,New Jersey,Jersey City,0,0,40.7012,-74.0903,http://www.gunviolencearchive.org/incident/1019385,http://www.nj.com/hudson/index.ssf/2018/01/jersey_city_sees_4_shootings_and_a_murder_on_new_y.html#incart_river_index
225927,2018-01-01,New Jersey,Orange,2,0,40.7661,-74.2284,http://www.gunviolencearchive.org/incident/1019391,http://www.nj.com/essex/index.ssf/2018/01/2_dead_in_new_years_day_shooting_in_orange.html#incart_river_index
225928,2018-01-01,Nebraska,Omaha,0,0,41.2905,-95.9776,http://www.gunviolencearchive.org/incident/1018506,http://www.wowt.com/content/news/Man-jailed-on-drug-weapons-charges-467561163.html
225929,2018-01-01,Oklahoma,Tulsa,0,1,36.2242,-95.9935,http://www.gunviolencearchive.org/incident/1018522,http://www.newson6.com/story/37168732/man-shot-after-suspects-shoot-into-tulsa-home
225930,2018-01-01,California,Oakland,0,1,37.7461,-122.18,http://www.gunviolencearchive.org/incident/1018525,https://www.mercurynews.com/2018/01/01/woman-injured-by-celebratory-gunfire-new-years-day-in-san-leandro/
225931,2018-01-01,Indiana,Fort Wayne,0,2,41.0744,-85.1755,http://www.gunviolencearchive.org/incident/1018324,http://wane.com/2018/01/01/2-hurt-in-new-years-day-bar-shooting/
225932,2018-01-01,Massachusetts,New Bedford,0,0,41.6405,-70.9328,http://www.gunviolencearchive.org/incident/1019946,http://wbsm.com/new-bedford-police-investigate-new-years-day-shots-fired-incident/
225933,2018-01-01,Tennessee,Knoxville,1,0,35.9656,-83.9198,http://www.gunviolencearchive.org/incident/1021453,http://www.wbir.com/article/news/crime/new-years-day-shooting-homicide-in-knoxville-accidental-according-to-records/51-504172165
225934,2018-01-01,New Mexico,Albuquerque,0,0,35.093,-106.64399999999999,http://www.gunviolencearchive.org/incident/1018287,http://www.koat.com/article/dangerous-tradition-of-shooting-guns-on-nye-continues/14526071
225935,2018-01-01,Massachusetts,Leominster,0,0,42.5255,-71.7496,http://www.gunviolencearchive.org/incident/1019365,http://www.sentinelandenterprise.com/breakingnews/ci_31564614/dispute-leominster-over-parking-space-leads-arrest-two
225936,2018-01-01,Connecticut,Hartford,0,1,41.7586,-72.6781,http://www.gunviolencearchive.org/incident/1019332,http://wtnh.com/2018/01/01/3-shootings-mar-new-years-day-in-hartford/
225937,2018-01-01,Massachusetts,Boston,0,1,42.3353,-71.0545,http://www.gunviolencearchive.org/incident/1018558,http://www.wcvb.com/article/two-people-shot-in-south-boston-shooter-at-large/14527569
225938,2018-01-01,Florida,Ocala,1,0,29.1967,-82.0976,http://www.gunviolencearchive.org/incident/1019076,https://www.clickorlando.com/news/ocala-police-officer-shoots-kills-himself-officials-say
225939,2018-01-01,Iowa,Council Bluffs,0,1,41.2401,-95.8847,http://www.gunviolencearchive.org/incident/1020207,http://www.kjan.com/index.php/2018/01/another-carjacking-reported-in-council-bluffs/
225940,2018-01-01,Wisconsin,Madison,0,0,43.0944,-89.3642,http://www.gunviolencearchive.org/incident/1019525,https://www.channel3000.com/news/crime/crowd-gathered-after-reports-of-shots-fired-new-years-day-officials-say/680568369
225941,2018-01-01,Nebraska,Grand Island,1,0,40.916,-98.3503,http://www.gunviolencearchive.org/incident/1018488,http://www.1011now.com/content/news/Grand-Island-Police-investigating-homicide-467549113.html
225942,2018-01-01,Ohio,Cincinnati,1,0,39.119,-84.5327,http://www.gunviolencearchive.org/incident/1018530,http://local12.com/news/local/police-investigate-west-end-homicide
225943,2018-01-01,Florida,Jacksonville,1,0,30.3588,-81.5524,http://www.gunviolencearchive.org/incident/1018153,http://jacksonville.com/news/public-safety/2018-01-02/jacksonville-police-identify-first-homicide-victim-2018
