state,n_killed,n_injured
Alabama,135,219
Alaska,11,19
Arizona,85,73
Arkansas,43,83
California,304,432
Colorado,61,79
Connecticut,17,57
Delaware,8,28
District of Columbia,25,61
Florida,267,379
Georgia,128,203
Hawaii,1,8
Idaho,14,9
Illinois,165,572
Indiana,96,131
Iowa,10,36
Kansas,38,55
Kentucky,77,125
Louisiana,129,240
Maine,8,3
Maryland,79,163
Massachusetts,22,80
Michigan,122,188
Minnesota,26,64
Mississippi,106,136
Missouri,128,215
Montana,5,13
Nebraska,11,31
Nevada,61,56
New Hampshire,1,10
New Jersey,57,72
New Mexico,37,24
New York,67,150
North Carolina,108,244
North Dakota,3,7
Ohio,139,277
Oklahoma,44,92
Oregon,31,39
Pennsylvania,136,238
Rhode Island,5,13
South Carolina,89,192
South Dakota,7,13
Tennessee,98,210
Texas,310,374
Utah,10,33
Vermont,4,3
Virginia,72,187
Washington,54,83
West Virginia,23,34
Wisconsin,46,118
Wyoming,10,0
